44
23;C;P;1;1;-57.0;24;22012020
24;D;P;4;4;+57.0;23;22012020
25;C;P;1;1;-10.0;26;23012020
26;D;P;5;5;+10.0;25;23012020
27;C;P;1;1;-10.0;28;23012020
28;D;P;5;5;+10.0;27;23012020
29;C;P;1;1;-10.0;30;23012020
30;D;P;2;2;+10.0;29;23012020
31;C;P;1;1;-4.0;32;23012020
32;D;P;2;2;+4.0;31;23012020
33;C;P;1;1;-10.0;34;23012020
34;D;P;5;5;+10.0;33;23012020
35;C;P;1;1;-100.0;36;23012020
36;D;P;9;9;+100.0;35;23012020
37;C;P;1;1;-10.0;38;23012020
38;D;P;5;5;+10.0;37;23012020
39;C;P;1;1;-10.0;40;23012020
40;D;P;5;5;+10.0;39;23012020
41;C;P;1;1;-15.0;42;23012020
42;D;P;5;5;+15.0;41;23012020
43;C;P;1;1;-10.0;44;23012020
44;D;P;5;5;+10.0;43;23012020
45;C;P;1;1;-10.0;46;23012020
46;D;P;9;9;+10.0;45;23012020
47;C;P;3;3;-15.0;48;23012020
48;D;P;12;12;+15.0;47;23012020
49;C;P;1;1;-15.0;50;23012020
50;D;P;4;4;+15.0;49;23012020
51;C;P;1;1;-22.0;52;23012020
52;D;P;2;2;+22.0;51;23012020
53;C;P;3;3;-124.65;54;23012020
54;D;P;13;13;+124.65;53;23012020
55;C;P;1;1;-1.0;56;23012020
56;D;P;2;2;+1.0;55;23012020
57;C;P;3;3;-12.0;58;25012020
58;D;P;4;4;+12.0;57;25012020
59;C;P;3;3;-12.0;60;25012020
60;D;P;5;5;+12.0;59;25012020
61;C;P;9;9;-22.0;62;25012020
62;D;P;3;3;+22.0;61;25012020
63;C;P;1;1;-7.8;64;25012020
64;D;P;13;13;+7.8;63;25012020
65;C;P;2;2;-2.66;66;25012020
66;D;P;16;16;+2.66;65;25012020
